strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Auto Pink Gelati,Top Shelf Elite Seeds,"THC levels around 19%, short seed to harvest time of approximately 70 days. Created from a mix of popular genetics.",21.2,28.08,40.0,3 Feminised Seeds (GBP 21.20) | 5 Feminised Seeds (GBP 32.00) | 10 Feminised Seeds (GBP 58.40) | 50 Feminised Seeds (GBP 277.40) | 100 Feminised Seeds (GBP 525.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_Pink_Gelati_6283ccd272d8e_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,Approx 19%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Exotic Witch,Royal Queen Seeds,"Potent indica-dominant strain with relaxing effects, high THC levels, fruity, earthy flavor. Suitable for evening use, stoning punch, sedating effects.",62.51,28.08,40.0,10 Regular Seeds (GBP 62.51) | 50 Regular Seeds (GBP 296.93) | 100 Regular Seeds (GBP 562.59),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Exotic_Witch_5fa4409d00733_120x140.jpg,"Exotic Witch is a unique indica-dominant strain with a lineage that includes a rare sativa landrace from the West Indies and an old indica from Northern California. This blend creates a highly aromatic, potent cultivar with about 20% THC. Known for its fast-acting, relaxing effects, Exotic Witch is perfect for evening use, offering relief from tension and pain, enhancing mood, increasing appetite, and aiding sleep.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,Sativa 20% Indica 80%,Regular,"Indoor, Outdoor",Super Strength,"Cerebral, Relaxing","Earthy, Floral, Fruity, Sandalwood, Sour",Cerebral and relaxing,Mild,"Fruity, Earthy, Tropical",20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,130 - 160 cm,Medium (81cm - 140cm),Short (up to 55 days),Beginning of October,7 - 8 weeks,Early October,West Indies Sativa x Indica 80' Northen California,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Condor Auto,R-Kiem Seeds,"Sativa dominant hybrid with Jack Herer x Exodus Cheese genetics. Flowering in 65 days, 120-150 cm tall, 500g/m2 yield, THC up to 18%.",51.6,28.08,40.0,10 Feminised Seeds (GBP 51.60) | 50 Feminised Seeds (GBP 245.10) | 100 Feminised Seeds (GBP 464.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Condor_Auto_5fc52f7875ca2_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Citrus, Incense, Lemon, Sour",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,65 days from germination. (EXT / INT),October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Valencia Seeds - Forbidden Fruit,Seed City Bulk Cannabis Seeds,"Potent indica-dominant strain with high THC levels. Easy to grow, resistant to pests, offers relaxing effects with fruity taste. Great for pain relief.",2.99,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blimburn America - Gelato Fast Blooming Variety,BlimBurn Seeds,"Balanced effects for relaxation and creativity. Ideal for anxiety, stress, depression, and eating disorders.",24.8,28.08,40.0,3 Feminised Seeds (GBP 24.80) | 6 Feminised Seeds (GBP 45.00) | 9 Feminised Seeds (GBP 61.60) | 45 Feminised Seeds (GBP 292.61) | 90 Feminised Seeds (GBP 554.40),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Hybrid,Indica Dominant,"Indoor, Outdoor",Super Strength,Cerebral,"Berry, Citrus, Earthy, Fruity, Sour, Sweet","Cerebral, Powerful",Mediterranean,"Sweet, Earthy, Sour",19 - 22%,1%,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),The End of September,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Gelato X,Purple Caper Seeds,"Delightful sorbet-like flavor, abundant yields in 56-70 days. Head-heavy high with 25% THC, suitable for indoor and outdoor cultivation.",98.5,28.08,40.0,5 Feminised Seeds (GBP 98.50) | 25 Feminised Seeds (GBP 467.88) | 50 Feminised Seeds (GBP 886.50),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Magic Tonic's Web,Purple Caper Seeds,"CBD-rich strain with short flowering period. High CBD, low THC levels. Ideal for medicinal use, indoor and outdoor cultivation.",50.0,28.08,40.0,5 Feminised Seeds (GBP 70.00) | 25 Feminised Seeds (GBP 332.50) | 50 Feminised Seeds (GBP 630.00) | 50 Regular Seeds (GBP 50.00) | 25 Regular Seeds (GBP 237.50) | 50 Regular Seeds (GBP 450.00),https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
UMME,Anesia Seeds,"Potent strain with blueberry cake aroma, high yield, powerful high, ideal for concentrates.",31.4,28.08,40.0,3 Feminised Seeds (GBP 31.40) | 5 Feminised Seeds (GBP 47.80) | 10 Feminised Seeds (GBP 93.80) | 50 Feminised Seeds (GBP 445.55) | 100 Feminised Seeds (GBP 844.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/UMME_60803f120199a_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Couch Lock, Euphoric, General Pain, Insomnia, Relaxing, Stress Relief","Berry, Cake, Cinnamon, Sweet, Vanilla",Relaxing,Mediterranean,Citrus,up to 30%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blueberry x Gelato,Seed City Bulk Cannabis Seeds,"THC levels of 15-21%. Medium-sized plants with dense buds. Citrus, berries, and pine aromas. Euphoric effects, good for anxiety and insomnia.",170.0,28.08,40.0,100 Feminised Seeds (GBP 170.00) | 500 Feminised Seeds (GBP 807.50) | 1000 Feminised Seeds (GBP 530.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Zkittlez,Medical Seeds,"Highly regarded strain with tropical fruit flavor, high terpene content, energetic effects, thrives outdoors.",24.23,28.08,40.0,3 Feminised Seeds (GBP 24.23) | 5 Feminised Seeds (GBP 39.98),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Zkittlez_612fb7320fdf9_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Body Stone, Relaxing","Fruity, Sweet",Relaxing,Mediterranean,Citrus,High - CBD : Low,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Auto Monolith Mass,Critical Mass Collective,"Intense, fruity aroma with hash-like taste. Potent effects for muscle spasms, insomnia, stress relief. Stunning bag appeal.",19.2,28.08,40.0,3 Feminised Seeds (GBP 19.20) | 5 Feminised Seeds (GBP 29.20) | 10 Feminised Seeds (GBP 53.20) | 50 Feminised Seeds (GBP 252.70) | 100 Feminised Seeds (GBP 478.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_Monolith_Ma_6182c987ae101_120x140.jpg,"Experience the nostalgia with our Auto version of a classic Indica, featuring super pungent, earthy aromas reminiscent of old-school Skunk and strong hash. The smell, a mix of slightly fruity and deep incense perfume, intensifies with the perfect cure, becoming almost stickily intense.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Insomnia, Relaxing, Stress Relief","Earthy, Hashy, Skunky, Sweet",Relaxing,Mediterranean,Citrus,20-22%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Cannacotta,TasteBudz Seeds,"Indica strain with relaxing effects, helps with pain, insomnia, and appetite loss. Dense, resinous flowers with sweet cream cake flavors. High THC.",16.64,20.8,20.0,3 Feminised Seeds (GBP 16.64) | 5 Feminised Seeds (GBP 23.36) | 10 Feminised Seeds (GBP 40.00) | 50 Feminised Seeds (GBP 190.00) | 100 Feminised Seeds (GBP 360.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Cannacotta_63bc4eb529f89_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Super Strength,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,26.0%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
00 Kush Fast,OO Seeds,"High-THC strain with fast indoor flowering (45-50 days), high yields, manageable indoor height (85-95 cm), harvest in October, outdoor height (180-220 cm).",13.0,28.08,40.0,3 Feminised Seeds (GBP 13.00) | 5 Feminised Seeds (GBP 17.40) | 25 Feminised Seeds (GBP 82.65) | 50 Feminised Seeds (GBP 156.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/00_Kush_Fast_618aa86d9409d_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
California Kush Fast,OO Seeds,"Quick 45-day flowering, high yield up to 500 gr/m2, potent THC levels of 22%. Ideal for efficient growers seeking quality.",13.0,28.08,40.0,3 Feminised Seeds (GBP 13.00) | 5 Feminised Seeds (GBP 17.40) | 25 Feminised Seeds (GBP 82.65) | 50 Feminised Seeds (GBP 156.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/California_Kush__657096e063e21_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Short (up to 55 days),Beginning of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Kush Creams,Holy Smoke Seeds,Potent strain with creamy kush notes and ice cream-like funk. Offers heavy relaxation and tantalizing terp profile for top-shelf experience.,84.9,28.08,40.0,12 Regular Seeds (GBP 84.90) | 60 Regular Seeds (GBP 403.28) | 120 Regular Seeds (GBP 764.10),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Kush_Creams_6197d653e2062_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,"Dairy, Minty, Sweet",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - AK420 Auto - Seed Stockers,Seed Stockers,"High-yielding, heat-resistant strain with potent cannabinoid profile. Ideal for hash makers and extract artists. Thrives in hot and cold climates.",9.65,16.08,40.0,3 X 1 Single Feminised Seed (GBP 9.65),https://www.seed-city.com/components/com_virtuemart/shop_image/product/AK420_Auto_5af9e27bcb0c4_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,Autoflowering,Indica Dominant,"Indoor, Outdoor, Greenhouse",Super Strength,Body Stone,"Citrus, Fruity, Fuel",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Early Bubba Kush - Reeferman Seeds,Reeferman Seeds,"Resin-heavy strain bred by Reeferman. Cross of Pre-98 Bubba Kush and Early Island Indica. High yield, finishes in 7-8 weeks.",28.15,46.92,40.0,4 X 1 Single Regular Seed (GBP 28.15),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Early_Bubba_Kush_566f7013c7a44_120x140.jpg,"Early Bubba Kush, a hybrid of EII x pre-98 Bubba Kush, emanates from California, recognized for its resin-rich and flavorful cultivation. This strain, developed by Reeferman, stems from cross-pollination with an Early Island Indica male, a resilient and highly inbred Indica strain. This crossing results in enhanced resin production, quicker maturation times, and improved mold resistance for both indoor and outdoor growing. Its breeder is Charles Scott.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Regular,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Earthy,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of September,7-8 weeks,Mid-September,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Lemon Kush - Kush Cannabis Seeds,Kush Cannabis Seeds,"Highly psychoactive strain with lemon undertones, good producer with large colas. Requires support in flowering, benefits from nitrogen, calcium, and magnesium.",6.17,10.28,40.0,1 X 1 Single Feminised Seed (GBP 6.17),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Lemon_Kush_53b217005fc08_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,Indica/Sativa Variable,Indica Dominant,"Indoor, Outdoor, Greenhouse",Normal,Relaxing,"Citrus, Lemon",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,9-10 weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Canadian Kush 2.0 - Medical Seeds,Cannabis Seed Sale Items,"Versatile plant with dense buds and pine aroma. High THC levels ideal for medicinal use against depression, insomnia, and pain.",23.99,39.98,40.0,5 Feminised Seeds (GBP 23.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Canadian_Kush_2._5d5f2036639c3_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,"Depression, Euphoric, General Pain, Insomnia, Narcotic, Relaxing","Earthy, Grape, Piney",Relaxing,Mediterranean,Citrus,high,low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Viper - John Sinclair Seeds,Cannabis Seed Sale Items,"Potent strain with relaxing effect, quick flowering time, high yield, musky scent.",19.39,32.31,40.0,9 X 1 Single Regular Seed (GBP 19.39),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Viper_5727ba6fd2a53_120x140.jpg,"John Sinclair, a medical cannabis patient, favors the potent Viper strain for its intense but manageable effects, ideal for relaxation without sedation. He is particularly drawn to Indica strains for their efficiency in production and the distinctive musky, herbal scent they carry. John Sinclair Indica stands out for its quick flowering, ease of maintenance, and the quality of its resin-rich buds.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,Indoor,Normal,Relaxing,"Herbal, Musky",Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Green Monster Autoflowering - Zambeza Seeds,Cannabis Seed Sale Items,"Fast-growing plant with 15% THC. Ideal for small spaces, high yields. Sweet, spicy, lemon flavors with medium-strength body stone.",10.27,17.12,40.0,2 X 1 Single Feminised Seed (GBP 10.27),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Green_Monster_Au_5732062ad2739_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,Indica dominant,Indica Dominant,"Indoor, Outdoor",Normal,"Happy, Relaxing","Lemon, Spicy, Sweet","Stoned, Relaxed, Happy",Mediterranean,Citrus,15%,Low,450 - 500 gr/m2,500 - 550 gr/plant,60 - 90cm,70 - 110cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Auto Bakers Delight - DNA Genetics,Cannabis Seed Sale Items,"Resin-coated strain with doughy sorbet aroma. Suitable for indoor, outdoor, and greenhouse cultivation. Ready in 75 days.",37.44,62.4,40.0,4 X 1 Single Feminised Seed (GBP 37.44),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Auto_Bakers_Deli_6557881e5a3e0_120x140.jpg,"Auto Bakers Delight, developed by DNA Genetics, is a novel auto-flowering variety noted for its resinous Cookie flowers with a unique doughy sorbet scent, suitable for cultivation in various environments. It emerges from the ingenious breeding of the elite Bakers Delight, a Cookies and Sorbet hybrid, with ruderalis to create a fast-finishing strain ready in just 75 days from seeding. This potent hybrid offers a rich terpene profile that guarantees an exceptional sensory experience.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,10-11 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Critical Nicky Kush,Seed City Bulk Cannabis Seeds,"Indica strain with high THC and moderate CBD levels, known for relaxation and stress relief. Easy to grow with high yields, popular among growers.",2.99,28.08,40.0,1 Single Feminised Seed (GBP 2.99) | 100 Feminised Seeds (GBP 174.99) | 500 Feminised Seeds (GBP 799.99) | 1000 Feminised Seeds (GBP 499.99),https://www.seed-city.com/components/com_virtuemart/shop_image/product/scbulksmall.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,20%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,8-9 Weeks,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Purple Punch Auto,OO Seeds,"Purple Punch Auto yields up to 400 g/m2 with 19% THC. Ideal for small spaces, balancing convenience and potency.",13.0,28.08,40.0,3 Feminised Seeds (GBP 13.00) | 5 Feminised Seeds (GBP 17.40) | 25 Feminised Seeds (GBP 82.65) | 50 Feminised Seeds (GBP 156.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Purple_Punch_Aut_657096efd5194_120x140.jpg,"This is White Widow, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Normal,Relaxing,Sweet,Relaxing,Mediterranean,Citrus,19%,Low,450 - 500 gr/m2,500 - 550 gr/plant,80 - 120 cm,140 - 180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,60 - 70 days,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
